"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"1498","VESTAVIA HILLS ELEM SCH EAST","010343001302","73","01","-86.786300","33.448600",-1,3,772
"1499","VESTAVIA HILLS ELEM SCH WEST","010343001303","73","01","-86.789000","33.434100",-1,3,765
"1500","VESTAVIA HILLS HIGH SCH","010343001304","73","01","-86.780900","33.419200",9,12,1886
"1501","VINA HIGH SCH","010159000548","59","01","-88.059300","34.374300",0,12,307
"1502","VINCENT ELEM SCH","010303001186","117","01","-86.426400","33.361200",-1,5,456
"1503","VINCENT MIDDLE HIGH SCH","010303001187","117","01","-86.414300","33.382200",6,12,477
"1504","VINEMONT ELEM SCH","010102000446","43","01","-86.863200","34.242700",0,5,467
"1505","VINEMONT HIGH SCH","010102000385","43","01","-86.864900","34.243600",9,12,337
"1506","VINEMONT MIDDLE SCH","010102000453","43","01","-86.865700","34.242800",6,8,248
"1507","VIRGIL GRISSOM HIGH SCH","010180000629","89","01","-86.538100","34.661800",9,12,1849
"1508","W A LECROY CAREER / TECHNICAL CTR","010066000748","21","01","-86.673600","32.832100",9,12,524.598433921844
"1509","W E DONALDSON","010017602111","73","01","-87.184700","33.514000",-2,-2,524.598433921844
"1510","W F BURNS MIDDLE SCH","010060000272","17","01","-85.196700","32.806600",6,8,664
"1511","W H COUNCIL TRADITIONAL SCH","010237000907","97","01","-88.050100","30.672200",0,5,681
"1512","W J CARROLL INTERMEDIATE SCH","010027000056","3","01","-87.902200","30.591400",4,6,454
"1513","W S NEAL ELEM SCH","010135001505","53","01","-87.066200","31.084400",0,4,573
"1514","W S NEAL HIGH SCH","010135000492","53","01","-87.055300","31.090800",9,12,401
"1515","W S NEAL MIDDLE SCH","010135001506","53","01","-87.064900","31.084000",5,8,434
"1516","W. O. PARMER ELEM SCH","010051000231","13","01","-86.624500","31.833700",0,2,622
"1517","WA THREADGILL PRIMARY SCH","010300001167","33","01","-87.693400","34.767300",-1,2,341
"1518","WACOOCHEE ELEM SCH","010207002188","81","01","-85.223600","32.597300",-1,6,532
"1519","WACOOCHEE JR HIGH SCH","010207000796","81","01","-85.100800","32.536900",7,8,1032
"1520","WADLEY HIGH SCH","010282001123","111","01","-85.576100","33.123500",0,12,422
"1521","WALKER CO ALT SCH","010345001225","127","01","-87.263700","33.833100",0,12,524.598433921844
"1522","WALKER CO CTR OF TECH","010345001237","127","01","-87.262200","33.835000",10,12,524.598433921844
"1523","WALKER ELEM SCH","010339001294","125","01","-87.634400","33.465000",0,5,650
"1524","WALKER HIGH SCH","010189000678","127","01","-87.265300","33.834900",9,12,839
"1525","WALLACE SCH - MT MEIGS CAMPUS","010000201705","101","01","-86.082400","32.374800",7,12,524.598433921844
"1526","WALNUT GROVE ELEM SCH","010222000850","89","01","-86.498900","34.943900",-1,5,229
"1527","WALNUT PK ELEM SCH","010162000565","55","01","-86.056200","34.010700",-1,5,260
"1528","WALTER JACKSON ELEM SCH","010117000436","103","01","-86.962900","34.576800",0,5,267
"1529","WALTER M KENNEDY SCH","010265001722","115","01","-86.276000","33.560200",0,4,470
"1530","WALTER T MCKEE ELEM SCH","010243001521","101","01","-86.253700","32.294000",0,6,524.598433921844
"1531","WALTER T MCKEE JR HIGH SCH","010243001524","101","01","-86.252200","32.294100",6,8,871
"1532","WARES FERRY ROAD ELEM SCH","010243001564","101","01","-86.190000","32.400800",0,5,407
"1533","WARRIOR ELEM SCH","010192000749","73","01","-86.806700","33.811200",0,5,288
"1534","WASHINGTON CO CAREER TECH CTR","010348001242","129","01","-88.205900","31.453800",7,12,524.598433921844
"1535","WASHINGTON CO HIGH SCH","010348001335","129","01","-88.254400","31.466300",5,12,540
"1536","WASHINGTON ELEM SCH","010039000190","73","01","-86.828600","33.495900",-1,8,567
"1537","WATERLOO HIGH SCH","010201000774","77","01","-88.063200","34.918100",-1,12,342
"1538","WC GRIGGS ELEM SCH","010237000965","97","01","-88.181100","30.588000",-1,5,674
"1539","WD ROBBINS ELEM SCH","010237000949","97","01","-88.098200","30.744800",-1,5,372
"1540","WE PUTNAM MIDDLE SCH-MAGNET","010039000175","73","01","-86.714100","33.528000",6,8,330
"1541","WEATHERLY HEIGHTS ELEM SCH","010180000651","89","01","-86.548500","34.643900",-1,5,527
"1542","WEAVER ELEM SCH","010054000246","15","01","-85.814400","33.755200",-1,6,681
"1543","WEAVER HIGH SCH","010054000247","15","01","-85.830900","33.746800",7,12,557
"1544","WEAVER TECH CTR","010162001369","55","01","-85.990900","33.996500",10,12,524.598433921844
"1545","WEBB ELEM SCH","010177000616","69","01","-85.270100","31.259900",0,6,497
"1546","WEBSTER ELEM SCH","010252001063","33","01","-87.621000","34.757100",1,2,217
"1547","WEDOWEE ELEM SCH","010282002171","111","01","-85.489600","33.311100",0,3,266
"1548","WEDOWEE MIDDLE SCH","010282001124","111","01","-85.496100","33.313200",4,6,192
"1549","WEEDEN ELEM SCH","010153000535","77","01","-87.642400","34.819400",0,4,463
"1550","WELLBORN ELEM SCH","010054000249","15","01","-85.879400","33.651500",0,6,634
"1551","WELLBORN HIGH SCH","010054001489","15","01","-85.882000","33.652500",7,12,566
"1552","WELTI ELEM SCH","010102000386","43","01","-86.740700","34.141800",-1,5,169
"1553","WENONAH ELEM SCH","010039000191","73","01","-86.883000","33.463900",6,8,425
"1554","WENONAH HIGH SCH","010039000192","73","01","-86.885900","33.452500",9,12,782
"1555","WEST BLOCTON ELEM SCH","010036000098","7","01","-87.125400","33.114600",0,4,262
"1556","WEST BLOCTON HIGH SCH","010036000099","7","01","-87.128400","33.113100",9,12,520
"1557","WEST BLOCTON MIDDLE SCH","010036001426","7","01","-87.131300","33.112700",5,8,499
"1558","WEST DECATUR ELEM SCH","010117000435","103","01","-86.998100","34.598300",-1,5,328
"1559","WEST ELEM SCH","010099000372","43","01","-86.857800","34.173000",2,6,615
"1560","WEST ELEM SCH","010291001143","59","01","-87.743800","34.526300",-1,2,734
"1561","WEST END ACAD","010039002187","73","01","-86.867600","33.484600",-1,5,836
"1562","WEST END ELEM SCH","010138000508","55","01","-86.262100","34.030600",-1,6,463
"1563","WEST END HIGH SCH","010138000507","55","01","-86.302300","34.063400",7,12,434
"1564","WEST END HIGH SCH","010039000194","73","01","-86.867700","33.484300",9,12,524.598433921844
"1565","WEST FOREST INTERMEDIATE SCH","010258000093","81","01","-85.420800","32.649100",3,5,282
"1566","WEST JASPER ELEM SCH","010189000679","127","01","-87.292300","33.832800",-1,5,269
"1567","WEST JEFFERSON ELEM SCH","010192000750","73","01","-87.073600","33.653400",0,6,160
"1568","WEST LIMESTONE HIGH SCH","010210000810","83","01","-87.123500","34.939900",0,12,1092
"1569","WEST MADISON ELEM SCH","010000800851","89","01","-86.751200","34.721200",-1,6,452
"1570","WEST MASTIN LAKE ELEM SCH","010180000650","89","01","-86.642100","34.772600",-1,5,387
"1571","WEST MORGAN ELEM SCH","010248000212","103","01","-87.065900","34.595900",0,4,565
"1572","WEST MORGAN HIGH SCH","010248001052","103","01","-87.079500","34.585300",9,12,366
"1573","WEST MORGAN MIDDLE SCH","010248001864","103","01","-87.079500","34.585300",5,8,394
"1574","WEST POINT ELEM SCH","010102000458","43","01","-86.962200","34.238500",0,3,494
"1575","WEST POINT HIGH SCH","010102000387","43","01","-86.963300","34.237300",9,12,553
"1576","WEST POINT INTERMEDIATE SCH","010102001679","43","01","-86.964400","34.233400",4,5,263
"1577","WEST POINT MIDDLE SCH","010102000459","43","01","-86.965000","34.232600",6,8,397
"1578","WESTERN HEIGHTS ELEM SCH","010141000514","5","01","-85.160000","31.887000",-1,2,846
"1579","WESTHILLS ELEM SCH","010033000090","73","01","-86.980500","33.378700",0,5,359
"1580","WESTLAWN ELEM SCH","010237000966","97","01","-88.118200","30.679100",-1,5,596
"1581","WESTLAWN MIDDLE SCH","010180000652","89","01","-86.625500","34.715300",6,8,561
"1582","WESTLAWN MIDDLE SCH","010336001268","125","01","-87.577400","33.199500",6,8,444
"1583","WESTSIDE ELEM SCH","010120000442","91","01","-87.858100","32.506000",-1,2,540
"1584","WESTVIEW ELEM SCH","010270001096","113","01","-85.023200","32.467200",0,5,363
"1585","WESTWOOD ELEM SCH","010339001295","125","01","-87.684000","33.247800",0,5,311
"1586","WETUMPKA ELEM SCH","010129000470","51","01","-86.214900","32.547800",-1,4,967
"1587","WETUMPKA HIGH SCH","010129000471","51","01","-86.222500","32.552500",9,12,1082
"1588","WETUMPKA INTERMEDIATE SCH","010129000102","51","01","-86.221600","32.547500",5,8,970
"1589","WHATLEY ELEM SCH","010039000195","73","01","-86.773400","33.533000",0,8,524.598433921844
"1590","WHISTLER ELEM SCH","010237000967","97","01","-88.104000","30.756200",0,5,524.598433921844
"1591","WHITE PLAINS ELEM SCH","010054001430","15","01","-85.682100","33.734000",0,4,546
"1592","WHITE PLAINS HIGH SCH","010054000250","15","01","-85.686700","33.746800",9,12,432
"1593","WHITE PLAINS MIDDLE SCHOOL","010054001884","15","01","-85.682800","33.734800",5,8,485
"1594","WHITESBORO ELEM SCH","010138000509","55","01","-86.068800","34.164800",0,6,280
"1595","WHITESBURG ELEM SCH","010180000653","89","01","-86.569200","34.674200",-1,5,524.598433921844
"1596","WHITESBURG MIDDLE SCH","010180001531","89","01","-86.570800","34.674200",-1,8,817
"1597","WHITLEY ELEM SCH","010237000968","97","01","-88.071200","30.736000",-1,5,382
"1598","WICKSBURG HIGH SCH","010177000617","69","01","-85.633300","31.225600",0,12,966
"1599","WILCOX CENTRAL HIGH SCH","010351001780","131","01","-87.330400","32.006500",9,12,534
"1600","WILCOX CO ALT SCH","010351001419","131","01","-87.285100","31.993000",6,12,524.598433921844
"1601","WILKERSON MIDDLE SCH","010039000196","73","01","-86.838700","33.523100",6,8,315
"1602","WILLIAM E BURKETT MULTI-HANDICAPPED CTR","010192001680","73","01","-86.811100","33.757400",0,12,85
"1603","WILLIAM HENRY BRAZIER ELEM SCH","010237000902","97","01","-88.117400","30.731800",-1,5,262
"1604","WILLIAM L RADNEY ELEM SCH","010003000006","123","01","-85.972600","32.929500",5,6,438
"1605","WILLIAM R MARTIN MIDDLE SCH","010111000814","47","01","-86.983600","32.498700",7,8,298
"1606","WILLIAM SILAS GARRETT ELEM SCH","010243001458","101","01","-86.179300","32.390500",0,5,582
"1607","WILLIAMS AVENUE ELEM SCH","010156000539","49","01","-85.706000","34.457300",3,4,487
"1608","WILLIAMS INTERMEDIATE SCHOOL","010265001883","115","01","-86.266300","33.560800",5,6,609
"1609","WILLIAMS MIDDLE SCH","010180002146","89","01","-86.726900","34.630200",6,8,611
"1610","WILLS VALLEY ELEM SCH","010156001365","49","01","-85.679200","34.481100",-1,2,860
"1611","WILMER ELEM SCH","010237000970","97","01","-88.350000","30.847000",0,5,624
"1612","WILMER HALL","010004501856","97","01","-88.131400","30.697900",-2,-2,524.598433921844
"1613","WILSON ELEM SCH","010039000197","73","01","-86.854400","33.508600",0,5,524.598433921844
"1614","WILSON HALL MIDDLE SCH","010072000306","25","01","-87.764700","31.702800",5,8,350
"1615","WILSON HIGH SCH","010201000775","77","01","-87.670300","34.927100",0,12,1279
"1616","WILSONVILLE ELEM SCH","010303001188","117","01","-86.485300","33.236800",0,5,205
"1617","WINFIELD ELEM SCH","010354001613","93","01","-87.811700","33.933200",0,4,496
"1618","WINFIELD HIGH SCH","010354001355","93","01","-87.810200","33.936600",9,12,390
"1619","WINFIELD MIDDLE SCH","010354000343","93","01","-87.812000","33.931400",5,8,411
"1620","WINSTON CO HIGH SCH","010358001357","133","01","-87.397200","34.164800",9,12,286
"1621","WINSTON CO TECH CTR","010358001243","133","01","-87.397800","34.165800",10,12,524.598433921844
"1622","WINTERBORO HIGH SCH","010318001226","121","01","-86.196500","33.320700",5,12,332
"1623","WOODLAND FORREST ELEM SCH","010336001269","125","01","-87.473300","33.151600",-1,5,388
"1624","WOODLAND HIGH SCH","010282001125","111","01","-85.393200","33.374400",0,12,754
"1625","WOODLAWN HIGH ALT CTR","010039000138","73","01","-86.752000","33.542500",9,12,524.598433921844
"1626","WOODLAWN HIGH SCH-MAGNET","010039000198","73","01","-86.752100","33.542200",9,12,857
"1627","WOODLAWN MIDDLE ALT CTR","010039001290","73","01","-86.752000","33.542500",6,8,524.598433921844
"1628","WOODMEADE ELEM SCH","010117000438","103","01","-87.014300","34.583500",-1,5,343
"1629","WOODSTOCK ELEM SCH","010036001480","7","01","-87.137700","33.209800",0,4,332
"1630","WOODVILLE HIGH SCH","010183000671","71","01","-86.271100","34.622800",0,12,569
"1631","WORKSHOP INCORPORATE","010039000073","73","01","-86.771200","33.525300",9,12,524.598433921844
"1632","WP DAVIDSON HIGH SCH","010237000912","97","01","-88.146500","30.662800",9,12,1533
"1633","WRIGHTS MILL ROAD ELEM SCH","010021000042","81","01","-85.472000","32.589800",3,5,480
"1634","WS HARLAN ELEM SCH","010093000364","39","01","-86.356700","31.015500",0,6,292
"1635","WYLAM ELEM SCH","010039000201","73","01","-86.916800","33.505400",-1,8,465
"1636","WYNTON M BLOUNT ELEM SCH","010243002084","101","01","-86.132400","32.310600",0,5,631
"1637","YORK WEST END JR HIGH SCH","010309001195","119","01","-88.314700","32.488300",0,8,280
"1638","ZION CHAPEL HIGH SCH","010081000327","31","01","-86.010600","31.567300",0,12,802
"1639","ZORA ELLIS JR HIGH SCH","010315001208","121","01","-86.093300","33.432700",7,8,318
